pr_name,created_date,author
"fix(auth): reject JWT when linked session is expired","2026-08-06T19:33:24Z","eldadfux"
"Fix deployment rule updates on activation","2026-08-06T19:08:51Z","roshanprabu"
"Feat 13067 huggingface oauth provider","2026-08-06T17:20:37Z","arpit10128"
"refactor: move v2 database metadata schema creation to async Database worker (#13100)","2026-08-05T17:28:52Z","Sumith2104"
"feat: expose reason why compute specification is disabled (#13106)","2026-08-05T16:55:00Z","Sumith2104"
"feat(vcs): tell the commit when a deployment was skipped or needs authorizing","2026-08-05T13:09:55Z","HarshMN2345"
"feat(vcs): report deployment state as GitHub check runs","2026-08-05T06:57:54Z","HarshMN2345"
"fix: reject hostname with empty port in validator","2026-08-04T06:11:08Z","HemangSaraiya"
"fix(vcs): handle zero expiry tokens during installation refresh","2026-08-03T15:05:36Z","bhardwajparth51"
"fix(vcs): evict stale vcsCommentLocks left by crashed Swoole workers","2026-08-01T10:19:52Z","okxint"
"Add Bitbucket as a VCS provider","2026-07-30T12:44:20Z","HarshMN2345"
"Fix: stabilize flaky health certificate test","2026-07-30T11:21:58Z","tusharnain"
"Fix: stabilize flaky avatars getFavicon test","2026-07-30T10:57:46Z","tusharnain"
"chore(sdks): bump claude-plugin and codex-plugin to 0.2.0","2026-07-29T12:07:45Z","atharvadeosthale"
"fix(proxy): use correct variable in empty check for function domains","2026-07-29T06:54:00Z","ManyaS-Git"
"Fix: request denied from loopback url","2026-07-28T09:26:30Z","Meldiron"
"Document executor container_name/hostname requirement","2026-07-27T13:50:39Z","sarbojitrana"
"Mongo healthcheck","2026-07-26T13:36:10Z","deepshekhardas"
"fix: support disabling SMTP keep-alive to prevent 421 idle timeouts (replacement of #12699)","2026-07-26T02:45:39Z","deepshekhardas"
"debug: log site rendering detection inputs and result (replacement of #12726)","2026-07-26T02:45:38Z","deepshekhardas"
"fix(compose): add missing env vars to workers (replacement of #12729)","2026-07-26T02:45:37Z","deepshekhardas"
"fix: cache empty get document results (replacement of #12961)","2026-07-26T02:45:37Z","deepshekhardas"
"chore(ci): optimize runner costs with spot instances and leaner matrix (replacement of #12763)","2026-07-26T02:45:37Z","deepshekhardas"
"fix: spatial isNull/isNotNull query support (widen database constraint, add e2e)","2026-07-26T02:27:19Z","deepshekhardas"
"fix(install): preserve custom _APP_DB_HOST/_APP_DB_PORT during upgrade","2026-07-25T18:12:21Z","feschaffa"
"fix: add CSRF protection in Zoom.php","2026-07-25T12:16:32Z","anupamme"
"fix: executing non-constant commands in graphql.php...","2026-07-25T11:13:00Z","anupamme"
"Fix v24 migration schema sync","2026-07-25T10:54:46Z","deepshekhardas"
"Fix #12623: Add _APP_SMTP_KEEPALIVE to opt out of SMTP connection reuse","2026-07-25T10:50:53Z","deepshekhardas"
"refactor: extract OpenAPI3::parse() into focused methods with tests","2026-07-25T10:25:18Z","gouthamx67"
"Fix truncated site detection logs and keep detection logs separate","2026-07-25T08:19:02Z","deepshekhardas"
"Fix static site serving 404 for pre-selected static adapter with single non-index file","2026-07-25T06:47:40Z","deepshekhardas"
"fix: retry SMTP send once on 421 timeout (stale keepalive)","2026-07-25T06:37:56Z","deepshekhardas"
"fix(compose): add missing _APP_DOMAIN* and _APP_OPTIONS_FORCE_HTTPS env vars to appwrite-worker-executions and appwrite-task-scheduler-messages","2026-07-25T06:33:22Z","deepshekhardas"
"feat: add first-class self-hosted multi-region support","2026-07-24T22:06:54Z","di3go04"
"fix: default boolean column value set to null (#12969)","2026-07-24T15:20:26Z","AyushDubey23"
"fix: spatial isNull/isNotNull query support","2026-07-24T14:52:23Z","deepshekhardas"
"fix(vcs): reject unsigned GitHub webhook events","2026-07-24T12:01:23Z","HarshMN2345"
"fix(vcs): skip unnecessary personal OAuth2 refresh for GitHub installations","2026-07-24T09:43:33Z","HarshMN2345"
"feat(event): add truncateMiddle helper method to Event class","2026-07-24T07:16:11Z","mahenoorsalat"
"Feat 12964 self hosted multi regions support","2026-07-23T20:19:23Z","ibaraki-douji"
"fix: return ISO8601 session expire from updateSession","2026-07-23T08:01:23Z","deepshekhardas"
"fix(sites): route domain traffic to the active deployment instead of pinning to the first","2026-07-23T08:01:21Z","deepshekhardas"
"fix(users): reject empty password and block session creation for blocked users","2026-07-23T07:43:23Z","deepshekhardas"
"fix: add .gitattributes rule to force LF for shell scripts","2026-07-23T07:41:42Z","deepshekhardas"
"fix: prevent empty JWT session lookup","2026-07-23T07:37:25Z","deepshekhardas"
"fix: verify session ownership on delete","2026-07-23T07:35:25Z","deepshekhardas"
"fix: resolve synchronous execution timeout on manual site uploads","2026-07-23T07:15:18Z","deepshekhardas"
"fix: JWT still valid after Session Timeout bug","2026-07-23T07:14:19Z","deepshekhardas"
"fix: installer database detection and admin account setup","2026-07-23T07:12:42Z","deepshekhardas"
"Fix duplicate webhook paused alerts","2026-07-23T06:32:37Z","kush2439p"
"feat: migrate to utopia-php/storage 3.0","2026-07-20T13:19:12Z","loks0n"
"perf(builds): measure source tarball size locally instead of S3 HEAD","2026-07-20T09:56:45Z","loks0n"
"fix: bump utopia-php/database to resolve point+operator 500 (#12866)","2026-07-19T20:31:12Z","ppandit12"
